text,target
"The electronic device according to the present invention is an electronic device configured to allow a user to listen to vibration sound that is transmitted when a vibrator held in a housing is pressed against the user\'s body and a part of the user\'s body is vibrated. The electronic device includes a microphone and vibrates the vibrator based on the ambient sound collected by the microphone.', 'The vibrator may be pressed with a pressing force in the range from 3N to 10N.', 'When the ambient sound collected by the microphone is equal to or less than a predetermined value, the vibrator may be vibrated based on the ambient sound collected by the microphone.', 'When the ambient sound collected by the microphone is more than the predetermined value, vibration of the vibrator based on the ambient sound collected by the microphone may be stopped or reduced.', 'The electronic device has a contact area detection function for detecting an area of contact of a contact object with the vibrator or a pressure detection function, and when the area of contact detected by the contact area detection function or the pressure detection value detected by the pressure detection function is more than a predetermined value, the vibrator may be vibrated based on the ambient sound collected by the microphone.', 'When the area of contact detected by the contact area detection function or the pressure detection value detected by the pressure detection function is equal to or less than a predetermined value, vibration of the vibrator based on the ambient sound collected by the microphone may be stopped or reduced.', 'Based on the ambient sound collected by the microphone, the vibrator may be vibrated with opposite phase to that of the ambient sound.', 'The vibrator may be vibrated by adjusting its phase, for each frequency band of the ambient sound, to be in opposite phase of the ambient sound.', 'The electronic device has a telephone communication function, and during telephone communication by the telephone communication function, the vibrator may be vibrated based on the ambient sound collected by the microphone.', 'The microphone that collects the ambient sound may be a sub-microphone disposed on a position different from that where a main microphone for speech transmission is disposed.', 'The main microphone is disposed in such a manner that it has a directivity on the side facing the vibrator of the housing, and the sub-microphone may be disposed in such a manner that it has a directivity on the opposite side to the main microphone.', 'The vibrator has a piezoelectric element and a panel that supports the piezoelectric element, and the panel may be held by the housing.', 'The piezoelectric element may be disposed on one end side in one direction of the housing.', 'The panel is formed in a rectangular shape in planar view, and the length of one of two sides opposed to each other thereof may be equal to or more than the length from the antitragus to the inferior crus of antihelix.', 'In the panel, the length of other two sides opposed to each other may be equal to or more than the length from the tragus to the antihelix.', 'The piezoelectric element may be joined to the housing with a joining member and fixed thereto.', 'The joining member may be a non-thermosetting adhesive.', 'The joining member may be a double-sided adhesive tape.', 'The panel may be joined to the housing with a joining member.', 'The joining member that joins the panel to the housing may be a non-thermosetting adhesive.",0
"The objects of the present invention can be implemented by following methods. First, a plurality of (preferably, three or more) electromagnetic sensors is combined and forms a partial discharge sensor while a relative positional relation (distance and angle) is kept between the sensors. Next, spatial intensity distribution of electromagnetic signals at the time of occurrence of partial discharge is measured by the sensors at the same time. The partial discharge and noise are separated by comparing a relative relation of signal intensity measured by the respective electromagnetic sensors constituting the partial discharge sensor with preliminarily-measured spatial intensity distribution at the time of occurrence of the partial discharge. Further, a peak position is obtained by comparing preliminarily-measured signal intensity distribution with measured signal distribution, thereby locating a defect position. Finally, a risk can be assessed by analyzing the φ-q-n pattern, current signal waveforms, and FFT waveforms of the partial discharge signal at the located defect position.",0
"According to the invention, a steam turbine rotor blade achieving both abrasion resistance and reliability, and a method for manufacturing a steam turbine rotor blade capable of obtaining such a steam turbine rotor blade can be provided.",1
"In other words, in the conventional technology, the waveform of a discharge pulse current that includes a current portion having a high peak value and short pulse width in the leading portion cannot be formed into a current waveform that does not affect the formation of the film.', 'The present invention is made in view of the above and has an object to obtain a discharge surface treatment apparatus capable of forming the waveform of a discharge pulse current into a current waveform that does not affect the formation of the film when a capacitor is connected in parallel with a discharge electrode and a workpiece and a current portion having a high peak value and short pulse width is formed in the leading portion of the discharge pulse current generated between the poles.",2
"The invention in claim 1 allows meter-in control and meter-out control to be individually performed, while enabling the number of components to be reduced to contribute to cost reduction.', 'The invention in claim 2 allows flow rate control to be accurately performed using the meter-in valve.', 'The invention in claim 3 facilitates control of the recycling flow rate, allowing accurate recycling flow rate control to be achieved.",1
"The present invention can provide a surface treated copper foil which is well bonded to a resin and allows the resin to have excellent transparency after removal of the copper foil by etching, and a laminate using the same.",1
"However, according to the researches by the inventor, it is found that the other electric characteristics of the solar battery do not always indicate satisfactory characteristics in a bulk-type solar battery in which a texture structure at high short-circuit current density is adopted over the entire surface of a cell.', 'The present invention has been devised in view of the above and it is an object of the present invention to obtain a solar battery cell having well-balanced electric characteristics and excellent in photoelectric conversion efficiency and a method of manufacturing the solar battery cell.",2
"According to the aspects of the present disclosure, the communication system can efficiently use resources and thus can improve communication reliability. Further, according to the aspect of the present disclosure, since the IoT device uses the reference signal of the existing LTE communication system, reliability of the channel estimation can be improved, and the resources can be efficiently used.",1
"According to the present technology, an effect that it is possible to suppress an increase in a voltage drop in a non-volatile memory including a variable resistive element installed therein can be obtained. Note that effects described herein are not necessarily limitative, and any effect that is desired to be described in the present disclosure may be admitted.",1
"An object of the present invention is to provide an apparatus for decoding an audio signal and method thereof, by which the audio signal can be reproduced from a random timing point by selectively including a spatial information signal in a header.', 'Another object of the present invention is to provide an apparatus for decoding an audio signal and method thereof, by which a position of a timeslot to which a parameter set will be applied can be efficiently represented using a variable bit number.', 'Another object of the present invention is to provide an apparatus for decoding an audio signal and method thereof, by which audio signal compression and transfer efficiencies can be raised by representing an information quantity required for performing a downmix signal arrangement or mapping multi-channel to a speaker as a minimal variable bit number.', 'A further object of the present invention is to provide an apparatus for decoding an audio signal and method thereof, by which an information quantity required for signal arrangement can be reduced by mapping multi-channel to a speaker without performing downmix signal arrangement.",2
The disclosure increases the reliability in assembling an engine onto a vehicle body via an engine mount.,1
"According to the present invention, in an environment where a plurality of SS/PBCH blocks may be transmitted, a monitoring window of a remaining minimum system information (RMSI) physical downlink control channel (PDCCH) corresponding to each SS/PBCH block may be efficiently configured.', 'It will be appreciated by persons skilled in the art that the effects that can be achieved with the present disclosure are not limited to what has been particularly described hereinabove and other effects of the present disclosure will be more clearly understood from the following detailed description taken in conjunction with the accompanying drawings.",1
"According to the present invention, it is possible to inhibit document offset while ensuring sufficient low-temperature toner fixability.",1
"The present invention has been made in view of the above described problems, and has its object to provide a method for producing an ultrathin-wall seamless metal tube by a high-reduction-rate, highly efficient diameter expanding rolling method utilizing a cold pilger mill. More specifically, its object is to provide a method for producing an ultrathin-wall seamless metal tube by a cold rolling method by which equivalent amounts of turn angle and feed can be given not only immediately before the start of a forward stroke, but also immediately before the start of a backward stroke in a cold pilger mill that performs elongation rolling in both the forward and backward strokes.",2
"When hydrosilylation reaction of an aliphatic unsaturated group-containing compound with a silane or polysiloxane having a Si—H group is carried out using a mononuclear iron complex compound of the invention as the catalyst, addition reaction can occur under conditions from room temperature to 100° C. In particular, addition reaction with industrially useful polysiloxanes, and trialkoxysilanes and dialkoxysilanes takes place in an effective manner. Although the known documents indicate that in the relevant reaction, addition reaction to unsaturated group and dehydrogenation silylation reaction to form unsaturated group-containing compounds often take place concurrently, the use of the inventive catalyst ensures selective progress of addition reaction to unsaturated group. In the reaction with internal olefin, which is difficult with prior art catalysts, an addition reaction product can be formed concomitant with migration of unsaturated group to the terminal.', 'Hydrogenation reaction is possible under mild conditions including room temperature and atmospheric pressure of hydrogen gas. The catalyst is also effective for hydrogenation of multi-substituted alkenes which is difficult with prior art methods.', 'In reductive reaction of carbonyl compounds, amide, aldehyde, ketone and ester compounds may be reacted with silanes or polysiloxanes having a Si—H group which are easy to handle, thereby yielding the desired reduced compounds.', 'Another advantage of the complex compound of the invention is that a common complex compound displays high catalytic activity to a plurality of reactions including hydrosilylation reaction, hydrogenation reaction, and reductive reaction of carbonyl compounds. The complex compound is very useful in organic synthetic reactions.",1
"In the ball joint according to Patent Literature 1, a main body part of the resin-made ball seat is fixed to the housing by thermal tightening.', 'In this respect, let us assume a case where the ball seat is fixed to the housing by insert injection molding where the resin (from which to mold the housing) is injected into a mold with the ball seat (and the support bar) inserted in the mold while the ball part of the ball stud is being held in the ball seat, instead of by heat-staking. In such a case, after the insert injection molding, the housing suffers from molding shrinkage (a phenomenon where the volume of the resin injected into the mold shrinks after the resin is cooled), and accordingly constricts the ball part of the ball stud (with the ball seat interposed in between). Thus, there is likelihood that the ball joint has difficulty in appropriately managing the torque which causes the ball part to slide over the housing.', 'The present invention has been made with the above situation taken into consideration. An object of the present invention is to provide: a ball joint capable of appropriately managing torque which causes a ball part to slide over a hosing, even in a case where a ball seat is provided in the housing by insert injection molding where resin is injected into a mold with the ball seat inserted in the mold while the ball part of the ball stud is being held in the ball seat; and a stabilizer link using the ball joint.",2
"Since the calcium carbonate filler for a resin of the present invention contains less fine powders, has a particle size which has been adjusted to a specific particle size, and contains less volatile components such as water etc., even when it is incorporated into a resin having a high processing temperature at a high concentration, it does not cause a problem such as foaming etc. at molding. Particularly, the calcium carbonate for a resin of the present invention is useful in the field such as a light reflection plate for a liquid crystal requiring reflectivity and light resistance, and a lamp reflector requiring an adhering force between a metal film and glossiness etc.",1
"The inventors took note of the fact that, to improve steel sheet for hot stamping use in delayed fracture resistance, trapping the hydrogen which penetrates the steel sheet is effective and engaged in intensive research based on that. As a result, they discovered that it is possible to cause the formation of Fe—Mn-based composite oxides in steel sheet and trap the hydrogen at the interfaces of the composite oxides and the matrix steel and thereby completed the present invention.', 'In large C content high strength steel sheet, usually the inclusions of metal oxides become defects. For this reason, as much as possible, the oxygen in the steel is removed and formation of metal oxides is suppressed. Therefore, in addition to adding Al and other deoxidizing elements, the concentration of oxygen is reduced at the stage of molten steel.', 'However, to cause the formation of Fe—Mn-based composite oxides in the steel like in the present invention, it is necessary to leave oxygen in the steel to a certain extent. Further, C itself has a deoxidizing action, so in general, with large C content steel sheet, the oxygen in the steel ends up becoming small in amount.', 'Therefore, the inventors discovered that by reducing the concentration of Al in the steel sheet, weakening the deoxidizing effect, and securing a concentration of oxygen in the steel, it is possible to cause the formation of composite oxides even in large C content steel sheet.', 'Further, they discovered that to raise the hydrogen trapping effect of composite oxides, it is effective to crush the composite oxides and increase their surface area. They discovered that by crushing and making the composite oxides finer, their effect as defects falls and this leads to an improvement in the performance of the steel sheet.', 'Furthermore, they learned that if there are voids around the composite oxides, the hydrogen trapping effect is improved more.', 'The inventors engaged in intensive studies on the method of production for the above.', 'They learned that large C content molten steel is high in viscosity, so Fe—Mn-based composite oxides have difficulty rising and steel Fe—Mn-based composite oxides can be easily formed in the steel.', 'Further, it was learned that by rolling (hot rolling or further cold rolling) a slab comprised of steel in which Fe—Mn composite oxides are formed, the composite oxides can be stretched and crushed. In this way, they discovered that it is possible to efficiently form hydrogen trap sites in steel sheet which do not become starting points of cracks. Further, they discovered that it is possible to form effective voids in a similar process. The present invention was completed based on these discoveries. The present invention has as its gist the following:', '(1) Steel sheet for hot stamping use which is comprised of chemical ingredients which contain, by mass %,', 'C: 0.05 to 0.40%,', 'Si: 0.001 to 0.02%,', 'Mn: 0.1 to 3%,', 'Al: 0.0002 to 0.005%,', 'Ti: 0.0005 to 0.01%,', 'O: 0.003 to 0.03%,', 'one or more of Cr and Mo in a total of 0.005 to 2%, and a balance of Fe and unavoidable impurities,', 'wherein the steel sheet contains average diameter 0.1 to 15 μm Fe—Mn-based composite oxide particles dispersed in the steel sheet.', 'Note that, S, P, and N are unavoidable impurities, but are restricted to the following contents:', 'S: 0.02% or less,",0
"A lesser trochanter securing device according to an embodiment of the present invention includes a basket portion and a buttress plating portion. The basket portion covers and buttresses a lesser trochanter and a part of a bone around a neck of a femoral stem inserted into a femoral medullary canal, and easily recovers and three-dimensionally secures a fracture area so as to prevent refracture. The buttress plating portion is joined to a lower edge of the basket portion and extends toward a femoral shaft and a posterolateral direction of an intertrochanteric area such that the buttress plating portion is joined to the area.', 'The lesser trochanter securing device according to the embodiment of the present invention includes: a basket portion covering a lesser trochanter; and a buttress plating portion joined to a lower edge of the basket portion and extending toward a femoral shaft such that the buttress plating portion is mainly secured and joined to the femoral shaft.",0
"A first aspect of the present invention is a variable valve operating apparatus for an internal combustion engine, comprising:', 'a variable mechanism which is placed between a cam and a valve, and changes valve opening characteristics of the valve; and', 'a changeover mechanism which changes over operational states of the variable mechanism,', 'wherein the changeover mechanism includes:', 'a guide rail which is provided in an outer peripheral surface of a camshaft including the cam, and is provided with a helical wall part;', 'a projection part which is disengageably placed in the helical wall part; and', 'an actuator which is capable of protruding the projection part toward the guide rail such that the projection part is engaged with the helical wall part,', 'wherein the changeover mechanism is adapted to change over operation states of the variable mechanism in association with a relative displacement between the projection part and the helical wall part that takes place during engagement between the projection part and the helical wall part, and', 'wherein a placement of the projection part with respect to the helical wall part is determined such that a central axis line of the projection part and a central axis line of the camshaft perpendicularly intersect with each other in a state in which the projection part is protruded toward the guide rail by the actuator.', 'A second aspect of the present invention is the variable valve operating apparatus for an internal combustion engine according to the first aspect of the present invention,', 'wherein the projection part is formed such that a width of its distal end part is smaller than that of its base end part, and a width of its intermediate part is not larger than that of the based end part, when viewed from an axial direction of the camshaft.', 'A third aspect of the present invention is the variable valve operating apparatus for an internal combustion engine according to the second aspect of the present invention,', 'wherein the projection part is formed so as to be narrowed down toward a shaft center of the camshaft when viewed from the axial direction of the camshaft in the state of being protruded toward the guide rail by the actuator.', 'A fourth aspect of the present invention is the variable valve operating apparatus for an internal combustion engine according to the third aspect of the present invention,', 'wherein the projection part is tapered to be thinner toward a distal end side when viewed from the axial direction of the camshaft.', 'A fifth aspect of the present invention is the variable valve operating apparatus for an internal combustion engine according to the fourth aspect of the present invention,', 'wherein a guide surface that guides the distal end part of the projection part which is inserted to the helical wall part is formed in at least one of the distal end part of the projection part and an upper part of the helical wall part.', 'A sixth aspect of the present invention is the variable valve operating apparatus for an internal combustion engine according to the fifth aspect of the present invention,', 'wherein the guide surface is a surface inclined downward of the helical wall part when viewing the distal end part of the projection part and the upper part of the helical wall part from a normal line direction of a virtual plane including an intersection between the central axis line of the projection part and the central axis line of the camshaft in the state of being protruded toward the guide rail by the actuator.",0
"According to the present invention, a laser beam can efficiently and simultaneously be irradiated to plural channels provided in a single microchip by a beam side-entry system. Thereby, a system of realizing highly sensitive fluorescence detection of plural channels can be fabricated by exciting a fluorescence substance present at inner portions of respective channels, and simultaneously measuring emitted fluorescence from a direction vertical to an array plane of the respective channels or to an upper face or a lower face of the microchip. The microchip used to at this time can be fabricated inexpensively by a fabricating method having mass production performance of the injection molding or the like, and the microchip can be made to be disposable. Further, an optical system used in detection can be made to be simple and convenient, and a total of a system can be made to be small-sized at low cost.', 'A problem, a configuration, and an effect other than the above-described will be made to be apparent by a description of following embodiments.",1
"As explained above, the crawler of the first aspect of the present invention is able to suppress side-slip while securing traction performance during driving on rough ground.",1
"According to the embodiment of the present invention, non-contiguous channel allocation information can be efficiently signaled.', 'According to an embodiment of the present invention, it is possible to increase the total resource utilization rate in the contention-based channel access system and improve the performance of the wireless LAN system.",1
"The present invention can provide a polishing pad capable of sufficiently reducing minute defects to be generated after polishing on a workpiece which are detected in measurement for a particle size of 26 nm or smaller and capable of providing the workpiece with excellent surface flatness, and a method for manufacturing the polishing pad.",1
"The present invention is directed to a method for producing a fiber-reinforced plastic molding including, in the following order, the steps of: forming a preform laminate fixed to a molding die by laminating a plurality of preforms each including a dry fiber fabric and a fixing resin, the preforms being laminated through the fixing resin formed on a surface of the dry fiber fabric and including a partially-cured thermosetting resin exhibiting tackiness at a room temperature; impregnating the dry fiber fabric, provided in the preform laminate fixed to the molding die, with a liquid thermosetting resin; curing the liquid thermosetting resin and the fixing resin to form a fiber-reinforced plastic molding; and demolding the fiber-reinforced plastic molding from the molding die.', 'In the step of forming the laminate, the plurality of preforms are laminated taking in consideration of fiber orientation of the dry fiber fabric to fabricate a preform laminate, and thereafter the preform laminate can be fixed to the molding die.', 'In the step of forming a laminate, after fixing the preform to the molding die through the fixing resin, at least one preform may be further laminated through the fixing resin.', 'The fixing resin is a vinyl ester resin having both of a (meta-) acryloyl group and an epoxy group in an identical resin skeleton and is a partially-cured resin with the solely reacted epoxy group. The liquid thermosetting resin is a vinyl ester resin, and the fixing resin and the liquid thermosetting resin are preferably cured at the same time in the step of curing.', 'In the step of curing, curing of the thermosetting resin is preferably performed by a stepcure, and complete curing of the fixing resin is preferably performed during an aftercure of the liquid thermosetting resin. The dry fiber fabric is a carbon fiber, and the fixing resin preferably includes carbon black.', 'Further, the present invention also relates to a preform used for producing a fiber-reinforced plastic molding, and the preform includes a dry fiber fabric and a fixing resin. The fixing resin is formed on a surface of the dry fiber fabric and includes a partially-cured thermosetting resin exhibiting tackiness at a room temperature. The fixing resin is preferably formed in a regular dot pattern.', 'Further, the present invention also relates to a method for producing the preform, including the step of transferring the fixing resin to the dry fiber fabric.', 'Preferably, in the step of transferring, an adhesive film including a release paper or release film and a fixing resin, formed on a surface of the release paper or release film and including a partially-cured thermosetting resin exhibiting tackiness at a room temperature, is brought into close contact with the dry fiber fabric to transfer the fixing resin to the dry fiber fabric.', 'Further, the present invention also relates to an adhesive film including a release paper or release film and a fixing resin, formed on a surface of the release paper or release film and including a partially-cured thermosetting resin exhibiting tackiness at a room temperature.', 'Preferably, the adhesive film is used for the method for producing a preform. Preferably, the fixing resin is formed in a regular pattern so as to cover 0.05%-5% of an area of the release paper or release film. Preferably, the fixing resin is formed in a regular dot pattern.",0
"As described in the foregoing column background art, a problem of appreciation eyeglasses for viewing a stereoscopic image of a type of being displayed by time division on one screen includes the following two points, as can be seen in liquid crystal shutter eyeglasses:', 'a: A visual field is dark.', 'b: A flicker occurs.', 'A method discussed in Japanese patent Application Laid-Open No. 2002-82307 solves the above-mentioned two points in the problem occurring in the liquid crystal shutter eyeglasses while the following problem is newly raised:', 'c: A crosstalk occurs.', 'This occurs when a viewer tilts his/her head. The shutter eyeglasses completely shield the visual fields using two polarizing plates orthogonal to each other when the visual fields are closed. On the other hand, in the method discussed in Patent literature 1, the visual fields are shielded when closed by a polarizing plate provided in a television set (in an LCDTV, display light itself is polarized light so that a new polarizing plate need not be provided on a front surface of the eyeglasses, as in Patent literature 1) and a polarizing plate in the eyeglasses. When the viewer tilts his/her head, therefore, an orthogonal state between the polarized light from an LCD and the polarizing plate in appreciation eyeglasses is destroyed. Thus, the occurrence of a crosstalk cannot be avoided.', 'If the stereoscopic image of a time division display type is appreciated, therefore, there occurs a technical subject to develop stereoscopic image appreciation eyeglasses capable of normal stereoscopic viewing by simultaneously solving the above-mentioned three problems. Therefore, the present invention is directed to solving this subject.",2
"According to the present invention, it is possible to improve the efficiency of predicting or restoring the current block based on the current picture reference mode.', 'According to the present invention, the block vector used in the current picture reference mode may be efficiently derived.', 'According to the present invention, a reference picture list for the current picture reference mode may be effectively generated.",1
"According to an aspect of the present disclosure, a driving assistance control apparatus that includes a control unit, a user interface unit, and a determining unit is provided. Reference numbers within the parentheses in the claims indicate corresponding relationships with specific means according to an embodiment described hereafter as an aspect, and do not limit the technical scope of the present disclosure.', 'The control unit alternately switches between a driving assistance mode and a manual driving mode. The driving assistance mode is an operation mode in which driving assistance is performed. In driving assistance, a portion or all of driving operations related to traveling of an own vehicle are automatically performed. The manual driving mode is an operation mode in which traveling is performed based on a driving operation by a driver without driving assistance being performed.', 'The user interface unit is configured to alternately designate, by input from the driver, an automatic switching mode, a manual-on mode, and a manual-off mode. In the automatic switching mode, switching between the driving assistance mode and the manual driving mode is autonomously performed. In the manual-on mode, the driving assistance mode is designated to be turned on by input from the driver. In the manual-off mode, the driving assistance mode is designated to be turned off by input from the driver.', 'The determining unit determines whether or not execution of driving assistance is permitted at a current time, based on a predetermined determination index related to whether or not execution of driving assistance is possible.', 'The control unit executes the driving assistance mode when the execution of driving assistance is permitted by the determining unit and executes the manual driving mode when the execution of driving assistance is determined to not be permitted by the determining unit, under a condition that the automatic switching mode is designated by the user interface unit. In addition, the control unit executes the driving assistance mode when a switch for designating the manual-on mode is operated by the user interface unit, under a condition that the execution of driving assistance is permitted by the determining unit. The user interface unit does not receive input that designates the manual-on mode when the execution of driving assistance is determined to not be permitted by the determining unit.', 'According to an aspect of the present disclosure, the driver can freely operate, through the user interface unit, the manual-on/off mode in which switching between the manual driving mode and the driving assistance mode is performed based on an operation by the driver, and the automatic switching mode in which switching is automatically performed. In addition, in a state in which the execution of driving assistance is determined to not be permitted, the manual-on mode is not received. As a result, the driving assistance mode is prevented from being started in unsuitable circumstances. Consequently, in a system in which both the manual-on/off mode and the automatic switching mode are provided, both safety and convenience of the driver can be actualized.",0
